RegionID,last_months_since_2000,Zillow_Home_Value_Index_last,forecast_months_since_2000_h1,Zillow_Home_Value_Index_pred_t_plus_1,forecast_months_since_2000_h3,Zillow_Home_Value_Index_pred_t_plus_3,forecast_months_since_2000_h12,Zillow_Home_Value_Index_pred_t_plus_12
394352,305,240238.2330734385,306,242833.41741808812,308,242833.41741808812,317,242833.41741808812
394353,305,323477.53639236075,306,319554.0711067121,308,319554.0711067121,317,319554.0711067121
394354,305,201411.7027481329,306,201380.45016737434,308,201380.45016737434,317,201380.45016737434
394355,305,449110.26575188246,306,458311.1978712443,308,458311.1978712443,317,458311.1978712443
394356,305,156999.39008342804,306,181930.72085918917,308,181930.72085918917,317,181930.72085918917
394357,305,364462.5516531208,306,363344.0525182624,308,363344.0525182624,317,363344.0525182624
394358,305,403427.96354934014,306,417320.8953805137,308,417320.8953805137,317,417320.8953805137
394359,305,276534.8061144212,306,276144.23086291354,308,276144.23086291354,317,276144.23086291354
394360,305,336932.9332768155,306,332267.90872833616,308,332267.90872833616,317,332267.90872833616
394361,305,757941.7710137417,306,754033.1508216182,308,754033.1508216182,317,754033.1508216182
394362,305,397703.6691348308,306,398512.0779575294,308,398512.0779575294,317,398512.0779575294
394363,305,178907.31125843045,306,180783.6819490676,308,180783.6819490676,317,180783.6819490676
394365,305,216378.9636913572,306,214726.28931256442,308,214726.28931256442,317,214726.28931256442
394366,305,157069.27598725283,306,159772.0393766982,308,159772.0393766982,317,159772.0393766982
394367,305,244155.7721607561,306,243914.16206343827,308,243914.16206343827,317,243914.16206343827
394368,305,184814.14449572004,306,187268.63773708366,308,187268.63773708366,317,187268.63773708366
394369,305,179193.6205427337,306,177483.89779445366,308,177483.89779445366,317,177483.89779445366
394370,305,211958.17010159144,306,223005.50060799226,308,223005.50060799226,317,223005.50060799226
394371,305,202447.5381863016,306,199504.71937516305,308,199504.71937516305,317,199504.71937516305
394372,305,176007.75566952117,306,176359.95794012435,308,176359.95794012435,317,176359.95794012435
394373,305,308498.2791156566,306,306904.1093816442,308,306904.1093816442,317,306904.1093816442
394374,305,140198.67054241264,306,141631.12042490707,308,141631.12042490707,317,141631.12042490707
394375,305,205475.77722206563,306,207754.64463770713,308,207754.64463770713,317,207754.64463770713
394376,305,172180.92139070734,306,173624.5684705852,308,173624.5684705852,317,173624.5684705852
394377,305,250513.74650041325,306,241039.5002118607,308,241039.5002118607,317,241039.5002118607
394378,305,624584.8151427942,306,626879.5793154656,308,626879.5793154656,317,626879.5793154656
394379,305,265703.9965231966,306,260621.28384953368,308,260621.28384953368,317,260621.28384953368
394380,305,675537.9847295122,306,680270.5028928115,308,680270.5028928115,317,680270.5028928115
394381,305,96056.65568702796,306,108950.74177147882,308,108950.74177147882,317,108950.74177147882
394382,305,374066.8549287135,306,404725.8648869837,308,404725.8648869837,317,404725.8648869837
394383,305,257782.4055979504,306,286067.8343100987,308,286067.8343100987,317,286067.8343100987
394384,305,218223.1476325661,306,229082.6209374938,308,229082.6209374938,317,229082.6209374938
394385,305,149704.42979355622,306,160234.58985992748,308,160234.58985992748,317,160234.58985992748
394386,305,406347.1471858782,306,402733.41380816785,308,402733.41380816785,317,402733.41380816785
394387,305,188723.03458426296,306,194255.8287731301,308,194255.8287731301,317,194255.8287731301
394388,305,257460.2760510848,306,258112.87627457108,308,258112.87627457108,317,258112.87627457108
394390,305,346218.73378605046,306,349379.38232529315,308,349379.38232529315,317,349379.38232529315
394391,305,372642.4876204043,306,368108.1727474342,308,368108.1727474342,317,368108.1727474342
394392,305,281623.452481841,306,286546.27494009724,308,286546.27494009724,317,286546.27494009724
394393,305,300759.1003775185,306,302897.0342253401,308,302897.0342253401,317,302897.0342253401
394395,305,242959.46071115625,306,241926.03161030594,308,241926.03161030594,317,241926.03161030594
394396,305,139760.86747681446,306,143077.169209512,308,143077.169209512,317,143077.169209512
394397,305,102079.12591002564,306,106344.10297542773,308,106344.10297542773,317,106344.10297542773
394398,305,129894.4896065654,306,132714.91551980894,308,132714.91551980894,317,132714.91551980894
394399,305,495831.63101028645,306,494075.3541692037,308,494075.3541692037,317,494075.3541692037
394402,305,514883.8079614535,306,513690.11175925395,308,513690.11175925395,317,513690.11175925395
394403,305,119449.0325794333,306,120544.32048596983,308,120544.32048596983,317,120544.32048596983
394404,305,737436.1440254474,306,739341.0001188917,308,739341.0001188917,317,739341.0001188917
394405,305,742033.142732441,306,748640.0909149904,308,748640.0909149904,317,748640.0909149904
394406,305,261892.0714365315,306,270783.2993795658,308,270783.2993795658,317,270783.2993795658
394407,305,711424.6099343029,306,710431.6275097479,308,710431.6275097479,317,710431.6275097479
